quizzes,solutions
010900058340020010006008047703109000050000000060004820000000174081057600000630009,000000000000000000000000000000000000000000000000000000000000000000000000000000000
030000000100703580006004019401070000008902065002400701023000000060090873800050904,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000045037075002460000010890720094000030000180160030002450806009003009020082050006,000000000000000000000000000000000000000000000000000000000000000000000000000000000
900010030200547160005009400601000503020008007089000200700093058006100700004065001,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000809060040003195703000002201506300084010006005900807050402000060700020300195074,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000700064003401095901058200080000510020030709304070680800064020510009070060000300,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000870800015006030400020406520001080067040250803900745906200062000008300071000,000000000000000000000000000000000000000000000000000000000000000000000000000000000
006087054400002000907000003020100800508300601003025070070040906105290007090006080,000000000000000000000000000000000000000000000000000000000000000000000000000000000
020900030965002000740086001001800340200000090080437500000200809356000270000040160,000000000000000000000000000000000000000000000000000000000000000000000000000000000
090260700008950310463000000580701900000040002700300085006009030012870604000000051,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000329008000040370104060050060253090001000000200800465000005007678030004300100200,000000000000000000000000000000000000000000000000000000000000000000000000000000000
201460090003000680500901400050670004000020003380000057800010000040307506027049100,000000000000000000000000000000000000000000000000000000000000000000000000000000000
004602090600000000071890600007530409008910562000004010010050000090423800083000704,000000000000000000000000000000000000000000000000000000000000000000000000000000000
006304000400029007958000020070083900000607005500400081010200450000001603090760800,000000000000000000000000000000000000000000000000000000000000000000000000000000000
508100000007000001960047030804002370300608150050400002000000403172000890090050060,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000900003607008200000763004090005108100042030208000645306000501700100080002594000,000000000000000000000000000000000000000000000000000000000000000000000000000000000
050004082000039100006700040019002630200001754008350000700685000340000009000900527,000000000000000000000000000000000000000000000000000000000000000000000000000000000
406080790000017030002030085900600300060000012007000504050208000084050600721004009,000000000000000000000000000000000000000000000000000000000000000000000000000000000
900073500060040387040805200781000030020600000005001724090400000003090010200018065,000000000000000000000000000000000000000000000000000000000000000000000000000000000
002007801008350000064009502800500700300804200010036408073200104000000000925010006,000000000000000000000000000000000000000000000000000000000000000000000000000000000
040100025005043900090007003430005087508600010170002600700069000010208740080030002,000000000000000000000000000000000000000000000000000000000000000000000000000000000
703408010000030060106720400070000030060950082208340005007600500405201700090000028,000000000000000000000000000000000000000000000000000000000000000000000000000000000
000460025007908301050003400960012070803000000000007046600009080402736100010025000,000000000000000000000000000000000000000000000000000000000000000000000000000000000
509310800300802070006004000751000003000700004042600015800063001060900020020005907,000000000000000000000000000000000000000000000000000000000000000000000000000000000
